contest_index,rating_mu,rating_sig,perf_score,place
0,1974,171,2069,1
1,2046,130,2124,1
2,1959,111,1792,11
3,2041,100,2228,1
4,2091,94,2213,1
5,2102,89,2131,2
6,2081,86,2016,4
