contest_index,rating_mu,rating_sig,perf_score,place
0,1390,171,1369,9
1,1427,130,1468,8
2,1462,111,1526,22
3,1369,100,845,50
4,1433,94,1582,15
5,1507,89,1783,9
6,1440,86,1239,24
