contest_index,rating_mu,rating_sig,perf_score,place
0,1742,171,1788,3
1,1758,130,1774,4
2,1847,111,2073,3
3,1863,100,1893,6
4,1918,94,2081,2
5,1880,89,1773,10
6,1888,86,1910,6
