contest_index,rating_mu,rating_sig,perf_score,place
0,1610,171,1631,5
1,1745,130,1917,2
2,1843,111,1999,4
3,1921,100,2100,2
4,1907,94,1879,6
5,1972,89,2212,1
6,2030,86,2224,1
