contest_index,rating_mu,rating_sig,perf_score,place
0,1671,171,1703,4
1,1657,130,1642,6
2,1668,111,1687,14
3,1700,100,1784,9
4,1760,94,2001,3
5,1822,89,2030,3
6,1817,86,1804,9
