rank,display_rating,num_contests,last_contest_index,last_change,handle
1,1984,5,4,21,KuetEffervescent
2,1738,5,4,45,KUET_FALCONS
3,1682,5,4,22,KUET_BreakDown
4,1674,5,4,40,KUET_Blaziken
5,1590,2,4,84,KUET_Sisyphus
6,1525,5,4,39,KUET_BUGMAN
7,1499,5,4,-16,KUET_Musashis
8,1399,2,4,126,trinityRaven
9,1374,1,4,1374,KUET_RANGERS
10,1345,2,4,247,KUET_Crusaders
11,1341,2,4,3,KUET_Desperados
12,1329,2,4,-34,KUET_Mayhem
13,1290,5,4,38,Team_Phoenix
14,1252,1,2,1252,Team_Blackburn
15,1240,2,4,285,ShowStoppers
16,1054,1,4,1054,KUET_Valkyries
17,1053,2,4,20,KUET_LAZYCODERS
18,1051,1,2,1051,Loop_Breakers
19,1021,1,4,1021,KUET_Phantoms
20,982,1,4,982,kuet_101
21,946,1,1,946,KUET_EXPLORERS
22,938,1,3,938,KUET_Yeti
